iter	Passed	Remaining
0	147	147630
1	149	74582
2	151	50225
3	152	38007
4	154	30657
5	155	25796
6	157	22300
7	158	19699
8	160	17695
9	162	16074
10	164	14748
11	165	13634
12	167	12697
13	168	11888
14	170	11188
15	171	10572
16	173	10021
17	174	9537
18	176	9093
19	177	8689
20	178	8318
21	179	7973
22	180	7659
23	181	7373
24	182	7110
25	183	6858
26	183	6624
27	184	6407
28	185	6205
29	186	6019
30	186	5844
31	187	5678
32	188	5519
33	189	5374
34	190	5238
35	190	5106
36	191	4979
37	191	4859
38	192	4743
39	193	4633
40	193	4530
41	194	4431
42	194	4338
43	195	4249
44	196	4164
45	196	4082
46	197	4004
47	198	3928
48	198	3855
49	199	3785
50	199	3718
51	200	3654
52	201	3592
53	201	3532
54	202	3474
55	202	3419
56	203	3368
57	204	3317
58	204	3267
59	205	3219
60	206	3172
61	206	3126
62	207	3082
63	207	3039
64	208	2998
65	209	2958
66	209	2919
67	209	2877
68	210	2840
69	211	2804
70	211	2769
71	212	2735
72	212	2702
73	213	2669
74	213	2639
75	214	2609
76	215	2579
77	215	2550
78	216	2522
79	216	2495
80	217	2468
81	218	2441
82	218	2416
83	219	2391
84	219	2365
85	220	2341
86	220	2315
87	221	2292
88	221	2270
89	222	2248
90	222	2227
91	223	2206
92	224	2185
93	224	2165
94	225	2145
95	225	2126
96	226	2107
97	226	2088
98	227	2070
99	228	2052
100	228	2035
101	228	2015
102	229	1998
103	230	1982
104	230	1965
105	231	1949
106	231	1933
107	232	1919
108	233	1904
109	233	1889
110	234	1875
111	234	1860
112	235	1846
113	235	1832
114	236	1818
115	236	1804
116	237	1792
117	238	1779
118	238	1765
119	239	1752
120	239	1740
121	240	1728
122	240	1714
123	241	1702
124	241	1690
125	242	1679
126	242	1668
127	243	1655
128	243	1644
129	244	1633
130	244	1623
131	245	1612
132	245	1602
133	246	1592
134	247	1582
135	247	1573
136	248	1563
137	248	1553
138	249	1543
139	249	1534
140	250	1525
141	250	1516
142	251	1507
143	252	1498
144	252	1489
145	253	1481
146	253	1472
147	254	1464
148	254	1456
149	255	1448
150	256	1440
151	256	1432
152	257	1424
153	257	1416
154	258	1408
155	258	1401
156	259	1393
157	260	1386
158	260	1379
159	261	1371
160	261	1364
161	262	1357
162	262	1350
163	263	1343
164	264	1336
165	264	1330
166	265	1323
167	265	1316
168	266	1310
169	266	1303
170	267	1297
171	268	1290
172	268	1284
173	269	1278
174	269	1272
175	270	1266
176	270	1259
177	271	1254
178	272	1248
179	272	1242
180	272	1235
181	273	1229
182	274	1223
183	274	1218
184	275	1212
185	275	1207
186	276	1201
187	277	1196
188	277	1191
189	278	1185
190	278	1180
191	279	1175
192	279	1170
193	280	1165
194	280	1159
195	281	1154
196	282	1149
197	282	1144
198	283	1139
199	283	1135
200	284	1130
201	284	1125
202	285	1120
203	286	1116
204	286	1111
205	287	1106
206	287	1102
207	288	1097
208	288	1093
209	289	1088
210	290	1084
211	290	1080
212	291	1075
213	291	1071
214	292	1067
215	292	1063
216	293	1058
217	293	1054
218	294	1050
219	295	1046
220	295	1042
221	296	1037
222	296	1033
223	297	1029
224	297	1025
225	298	1022
226	299	1018
227	299	1014
228	300	1010
229	300	1006
230	301	1002
231	301	999
232	302	995
233	302	991
234	304	991
235	305	988
236	305	984
237	306	981
238	307	977
239	307	974
240	308	970
241	308	967
242	309	963
243	309	960
244	310	957
245	311	953
246	311	950
247	312	946
248	312	943
249	313	940
250	313	936
251	314	933
252	315	931
253	315	927
254	316	924
255	317	921
256	317	918
257	318	915
258	318	912
259	319	908
260	319	905
261	320	902
262	321	899
263	321	896
264	322	893
265	322	890
266	323	887
267	323	884
268	324	881
269	325	879
270	325	876
271	326	873
272	326	870
273	327	867
274	328	864
275	328	861
276	329	859
277	329	856
278	330	854
279	331	851
280	331	849
281	332	846
282	332	843
283	333	840
284	334	838
285	334	835
286	335	832
287	335	830
288	336	827
289	336	824
290	337	822
291	338	819
292	338	817
293	339	814
294	339	812
295	340	809
296	340	807
297	341	804
298	342	802
299	342	799
300	343	797
301	343	794
302	344	792
303	345	790
304	346	788
305	346	786
306	347	784
307	347	781
308	348	779
309	349	776
310	349	774
311	350	772
312	350	769
313	351	767
314	351	765
315	352	762
316	353	760
317	353	758
318	354	756
319	354	753
320	355	751
321	355	749
322	356	747
323	356	744
324	357	742
325	358	740
326	359	739
327	359	737
328	360	735
329	360	732
330	361	730
331	362	728
332	362	726
333	363	724
334	363	722
335	364	720
336	365	718
337	365	716
338	366	714
339	366	711
340	367	709
341	367	707
342	368	705
343	369	703
344	369	701
345	370	699
346	370	697
347	371	695
348	371	693
349	372	691
350	373	689
351	373	687
352	374	685
353	374	683
354	375	682
355	375	680
356	376	678
357	377	676
358	377	674
359	378	672
360	378	670
361	379	668
362	379	666
363	380	664
364	380	662
365	381	660
366	382	659
367	382	657
368	383	655
369	383	653
370	384	651
371	384	649
372	385	648
373	386	646
374	386	644
375	387	642
376	388	641
377	388	639
378	389	637
379	389	636
380	390	634
381	391	632
382	391	631
383	392	629
384	393	627
385	393	626
386	394	624
387	395	623
388	395	621
389	396	619
390	396	617
391	397	616
392	397	614
393	398	612
394	399	611
395	399	609
396	400	607
397	400	606
398	401	604
399	401	602
400	402	601
401	403	599
402	403	597
403	404	596
404	404	594
405	405	593
406	405	591
407	406	589
408	407	588
409	407	586
410	408	585
411	408	583
412	409	581
413	410	580
414	410	578
415	411	577
416	411	575
417	412	574
418	412	572
419	413	571
420	414	569
421	414	567
422	415	566
423	415	565
424	416	563
425	417	561
426	417	560
427	418	558
428	418	557
429	419	555
430	419	554
431	420	552
432	421	551
433	421	549
434	422	548
435	422	546
436	423	545
437	423	543
438	424	542
439	425	541
440	425	539
441	426	538
442	426	536
443	427	535
444	428	534
445	428	532
446	429	531
447	430	529
448	430	528
449	431	527
450	432	526
451	433	525
452	433	523
453	434	522
454	434	520
455	435	519
456	436	518
457	436	516
458	437	515
459	437	514
460	438	512
461	439	511
462	439	509
463	440	508
464	440	507
465	441	505
466	442	504
467	442	503
468	443	501
469	443	500
470	444	499
471	445	498
472	446	497
473	446	495
474	447	494
475	448	493
476	449	492
477	449	491
478	450	490
479	451	488
480	451	487
481	452	486
482	452	484
483	453	483
484	454	482
485	454	480
486	455	479
487	455	478
488	456	476
489	456	475
490	457	474
491	458	472
492	458	471
493	459	470
494	459	469
495	460	467
496	461	466
497	461	465
498	462	464
499	462	462
500	463	461
501	463	460
