iter	Passed	Remaining
0	128	128758
1	132	65898
2	134	44851
3	137	34135
4	138	27557
5	141	23469
6	144	20477
7	146	18203
8	149	16474
9	151	15031
10	153	13786
11	155	12793
12	156	11912
13	159	11241
14	161	10588
15	163	10053
16	165	9550
17	167	9136
18	168	8723
19	171	8414
20	173	8107
21	175	7810
22	177	7539
23	179	7289
24	180	7057
25	182	6842
26	184	6652
27	186	6465
28	188	6312
29	190	6164
30	192	6016
31	194	5880
32	196	5757
33	198	5633
34	199	5511
35	202	5409
36	204	5310
37	205	5206
38	207	5108
39	209	5025
40	211	4935
41	212	4850
42	214	4766
43	216	4695
44	218	4628
45	219	4557
46	221	4489
47	223	4430
48	225	4371
49	226	4309
50	228	4253
51	230	4209
52	232	4161
53	234	4110
54	236	4071
55	238	4022
56	240	3976
57	242	3930
58	243	3886
59	245	3850
60	247	3810
61	249	3773
62	251	3738
63	253	3703
64	255	3674
65	257	3650
66	260	3623
67	262	3596
68	264	3562
69	265	3527
70	267	3496
71	268	3463
72	269	3428
73	271	3393
74	272	3362
75	273	3331
76	277	3323
77	278	3294
78	280	3264
79	281	3233
80	282	3203
81	283	3176
82	284	3140
83	285	3111
84	286	3083
85	287	3056
86	288	3031
87	290	3005
88	291	2988
89	293	2972
90	295	2951
91	296	2927
92	297	2902
93	298	2878
94	299	2854
95	300	2830
96	301	2806
97	302	2783
98	303	2760
99	304	2740
100	306	2727
101	307	2710
102	308	2690
103	310	2671
104	311	2652
105	312	2634
106	313	2616
107	314	2599
108	315	2581
109	317	2566
110	318	2550
111	319	2535
112	321	2521
113	322	2507
114	324	2495
115	325	2483
116	326	2466
117	328	2451
118	329	2437
119	330	2425
120	331	2410
121	332	2394
122	333	2379
123	334	2364
124	336	2352
125	337	2341
126	338	2325
127	339	2312
128	341	2302
129	342	2289
130	343	2276
131	344	2262
132	345	2250
133	346	2238
134	347	2226
135	348	2214
136	349	2202
137	350	2191
138	352	2182
139	353	2170
140	354	2159
141	355	2145
142	356	2133
143	356	2121
144	357	2110
145	358	2099
146	359	2087
147	360	2076
148	361	2064
149	362	2053
150	363	2042
151	364	2031
152	365	2020
153	366	2010
154	367	2005
155	369	1999
156	370	1990
157	371	1980
158	372	1970
159	373	1961
160	374	1950
161	375	1941
162	376	1931
163	377	1922
164	378	1914
165	379	1906
166	380	1898
167	381	1891
168	383	1884
169	384	1876
170	385	1869
171	386	1861
172	387	1854
173	389	1846
174	390	1839
175	391	1831
176	392	1824
177	393	1817
178	394	1810
179	396	1804
180	397	1799
181	399	1793
182	400	1786
183	401	1779
184	402	1772
185	403	1765
186	404	1758
187	405	1751
188	406	1744
189	407	1737
190	408	1730
191	409	1723
192	410	1717
193	411	1711
194	413	1706
195	414	1701
196	415	1694
197	416	1688
198	417	1681
199	418	1675
200	419	1669
201	420	1662
202	422	1656
203	423	1651
204	424	1645
205	425	1640
206	426	1634
207	428	1630
208	429	1625
209	430	1619
210	431	1614
211	432	1608
212	433	1603
213	435	1597
214	436	1592
215	437	1587
216	438	1582
217	440	1578
218	441	1575
219	443	1573
220	445	1569
221	446	1565
222	448	1561
223	449	1556
224	450	1552
225	451	1547
226	452	1542
227	454	1538
228	455	1533
229	456	1528
230	457	1523
231	459	1519
232	460	1515
233	461	1510
234	462	1505
235	463	1499
236	464	1494
237	465	1489
238	466	1484
239	467	1479
240	468	1474
241	469	1469
242	470	1464
243	471	1459
244	471	1454
245	473	1449
246	474	1446
247	475	1442
248	476	1438
249	477	1433
250	479	1429
251	480	1425
252	481	1421
253	482	1416
254	483	1412
255	484	1408
256	487	1408
257	488	1404
258	489	1401
259	491	1399
260	493	1397
261	495	1394
262	496	1391
263	497	1388
264	499	1384
265	500	1381
266	502	1378
267	503	1374
268	505	1372
269	506	1370
270	507	1366
271	509	1362
272	510	1358
273	511	1354
274	512	1351
275	513	1347
276	514	1343
277	515	1340
278	517	1336
279	518	1332
280	519	1328
281	521	1326
282	522	1322
283	522	1318
284	523	1313
285	524	1309
286	525	1305
287	526	1300
288	526	1296
289	527	1292
290	528	1287
291	529	1283
292	530	1279
293	531	1275
294	531	1270
295	532	1266
296	533	1263
297	535	1260
298	536	1258
299	537	1254
300	538	1250
301	539	1246
302	540	1242
303	541	1239
304	542	1235
305	543	1231
306	543	1227
307	544	1224
308	545	1220
309	546	1216
310	547	1212
311	548	1209
312	549	1205
313	550	1202
314	552	1200
315	552	1196
316	553	1193
317	554	1189
318	555	1186
319	556	1182
320	557	1179
321	558	1175
322	559	1172
323	560	1168
324	561	1165
325	562	1161
326	563	1158
327	563	1155
328	564	1152
329	566	1149
330	567	1146
331	568	1143
332	569	1140
333	570	1137
334	571	1134
335	572	1131
336	573	1128
337	574	1125
338	575	1121
339	576	1118
340	577	1115
341	577	1111
342	578	1108
343	579	1105
344	580	1102
345	582	1101
346	584	1099
347	584	1095
348	585	1092
349	586	1089
350	587	1086
351	588	1082
352	588	1079
353	589	1076
354	590	1073
355	591	1070
356	592	1067
357	593	1064
358	594	1062
359	595	1059
360	597	1056
361	598	1054
362	599	1051
363	600	1048
364	600	1045
365	601	1042
366	602	1039
367	603	1036
368	604	1033
369	605	1030
370	605	1027
371	606	1024
372	607	1021
373	608	1018
374	609	1015
375	610	1012
376	611	1010
377	612	1008
378	614	1006
379	614	1003
380	615	1000
381	616	997
382	617	994
383	618	991
384	619	989
385	620	986
386	621	983
387	621	981
388	622	978
389	623	975
390	624	972
391	625	970
392	626	967
393	627	965
394	629	963
395	630	961
396	631	958
397	632	956
398	633	953
399	634	951
400	634	948
401	635	945
402	636	943
403	637	940
404	638	937
405	639	935
406	640	933
407	641	930
408	644	931
409	645	929
410	647	927
411	648	925
412	649	923
413	650	921
414	651	918
415	652	916
416	653	914
417	654	911
418	655	909
419	656	907
420	658	905
421	659	903
422	660	901
423	662	899
424	663	897
425	664	895
426	665	892
427	666	890
428	667	888
429	668	885
430	669	883
431	670	881
432	671	878
433	672	876
434	673	874
435	674	872
436	676	870
437	677	868
438	678	866
439	679	864
440	680	862
441	681	860
442	682	858
443	683	856
444	685	854
445	686	852
446	687	850
447	688	848
448	690	847
449	691	845
450	692	843
451	693	841
452	694	839
453	695	836
454	696	834
455	697	832
456	698	830
457	699	828
458	700	825
459	701	823
460	702	821
461	704	819
462	705	818
463	706	816
464	707	814
465	708	811
466	709	809
467	710	807
468	711	805
469	712	803
470	713	801
471	714	798
472	715	796
473	716	794
474	717	792
475	717	790
476	719	788
477	720	786
478	721	784
479	722	782
480	723	780
481	724	778
482	725	776
483	726	774
484	727	772
485	728	770
486	729	768
487	730	766
488	731	764
489	732	762
490	733	760
491	734	758
492	736	756
493	737	754
494	737	752
495	738	750
496	739	748
497	740	746
498	741	744
499	742	742
500	743	740
501	744	738
502	745	736
503	746	734
504	747	732
505	748	730
506	751	730
507	752	728
508	753	727
509	754	725
510	755	723
511	756	721
512	758	719
513	759	718
514	760	716
515	761	714
516	762	712
517	763	710
518	766	709
519	767	708
520	768	706
521	769	705
522	771	703
523	772	701
524	773	699
525	774	697
526	775	696
527	776	694
528	777	692
529	778	690
530	780	689
531	782	688
532	783	686
533	784	684
534	785	682
535	786	680
536	787	678
537	788	677
538	789	675
539	790	673
540	791	671
541	792	669
542	793	668
543	796	667
544	797	665
545	798	664
546	799	662
547	800	660
548	801	658
549	802	656
550	803	655
551	804	653
552	806	651
553	807	649
554	808	648
555	811	648
556	812	646
557	814	644
558	815	643
559	816	641
560	817	639
561	818	637
562	819	635
563	820	633
564	821	632
565	822	630
566	823	628
567	824	626
568	825	625
569	827	624
570	828	622
571	829	620
572	830	619
573	831	617
574	833	615
575	834	614
576	835	612
577	836	610
578	837	608
579	838	607
580	839	605
581	840	603
582	842	602
583	843	601
584	844	599
585	845	597
586	846	595
587	847	593
588	848	591
589	848	589
590	849	588
591	850	586
592	851	584
593	852	582
594	853	580
595	854	578
596	854	577
597	855	575
598	857	573
599	858	572
600	859	570
601	860	568
602	861	567
603	862	565
604	863	563
605	864	561
606	864	560
607	865	558
608	866	556
609	867	554
610	868	552
611	869	551
612	869	549
613	870	547
614	871	545
615	873	544
616	874	542
617	875	541
618	876	539
619	877	537
620	878	536
621	879	534
622	880	532
623	881	531
624	882	529
625	883	527
626	884	525
627	885	524
628	885	522
629	886	520
630	888	519
631	889	517
632	890	516
633	891	514
634	891	512
635	892	510
636	893	509
637	894	507
638	895	505
639	896	504
640	896	502
641	897	500
642	898	498
643	899	497
644	900	495
645	901	493
646	901	492
647	903	490
648	904	489
649	906	487
650	907	486
651	909	485
652	910	483
653	911	482
654	912	480
655	913	479
656	914	477
657	915	475
658	916	474
659	917	472
660	919	471
661	920	470
662	921	468
663	922	466
664	923	465
665	924	463
666	925	462
667	926	460
668	927	458
669	928	457
670	929	455
671	929	453
672	930	452
673	931	450
674	932	448
675	933	447
676	935	446
677	936	444
678	937	443
679	938	441
680	938	439
681	939	438
682	940	436
683	941	435
684	942	433
685	943	431
686	944	430
687	945	428
688	945	426
689	946	425
690	947	423
691	948	422
692	950	420
693	951	419
694	952	417
695	953	416
696	954	414
697	955	413
698	956	411
699	957	410
700	957	408
701	958	407
702	959	405
703	960	403
704	961	402
705	962	400
706	964	399
707	965	398
708	966	396
709	967	395
710	968	393
711	969	391
712	969	390
713	970	388
714	971	387
715	972	385
716	973	384
717	974	382
718	975	381
719	976	379
720	977	378
721	978	376
722	980	375
723	981	374
724	982	372
725	983	371
726	984	369
727	985	368
728	986	366
729	988	365
730	989	364
731	990	362
732	991	361
733	992	359
734	993	358
735	995	357
736	997	355
737	998	354
738	999	352
739	1000	351
740	1001	349
741	1001	348
742	1002	346
743	1003	345
744	1004	343
745	1005	342
746	1006	340
747	1007	339
748	1008	337
749	1009	336
750	1010	335
751	1011	333
752	1012	332
753	1013	330
754	1014	329
755	1016	327
756	1017	326
757	1018	325
758	1019	323
759	1020	322
760	1021	320
761	1022	319
762	1022	317
763	1023	316
764	1024	314
765	1026	313
766	1027	312
767	1028	310
768	1029	309
769	1030	307
770	1031	306
771	1032	304
772	1032	303
773	1033	301
774	1034	300
775	1035	298
776	1036	297
777	1037	295
778	1038	294
779	1039	293
780	1040	291
781	1041	290
782	1042	288
783	1043	287
784	1044	285
785	1045	284
786	1045	283
787	1046	281
788	1047	280
789	1048	278
790	1049	277
791	1050	275
792	1050	274
793	1051	272
794	1052	271
795	1053	270
796	1054	268
797	1055	267
798	1057	266
799	1058	264
800	1059	263
801	1060	261
802	1061	260
803	1062	259
804	1063	257
805	1064	256
806	1065	254
807	1066	253
808	1067	251
809	1068	250
810	1069	249
811	1070	247
812	1071	246
813	1073	245
814	1074	243
815	1075	242
816	1076	241
817	1076	239
818	1077	238
819	1078	236
820	1079	235
821	1080	233
822	1081	232
823	1082	231
824	1083	229
825	1084	228
826	1085	226
827	1086	225
828	1087	224
829	1088	223
830	1089	221
831	1090	220
832	1091	218
833	1092	217
834	1093	215
835	1093	214
836	1094	213
837	1095	211
838	1096	210
839	1097	209
840	1098	207
841	1099	206
842	1099	204
843	1100	203
844	1101	202
845	1103	200
846	1104	199
847	1105	198
848	1105	196
849	1106	195
850	1107	193
851	1108	192
852	1109	191
853	1110	189
854	1111	188
855	1112	187
856	1113	185
857	1114	184
858	1115	183
859	1116	181
860	1118	180
861	1119	179
862	1120	177
863	1120	176
864	1121	175
865	1122	173
866	1123	172
867	1124	170
868	1125	169
869	1126	168
870	1126	166
871	1127	165
872	1128	164
873	1129	162
874	1130	161
875	1131	160
876	1132	158
877	1133	157
878	1134	156
879	1135	154
880	1136	153
881	1137	152
882	1138	150
883	1139	149
884	1140	148
885	1141	146
886	1142	145
887	1143	144
888	1144	142
889	1145	141
890	1146	140
891	1147	138
892	1148	137
893	1149	136
894	1150	135
895	1151	133
896	1153	132
897	1154	131
898	1155	129
899	1155	128
900	1156	127
901	1157	125
902	1158	124
903	1159	123
904	1160	121
905	1161	120
906	1162	119
907	1163	117
908	1165	116
909	1167	115
910	1167	114
911	1168	112
912	1169	111
913	1170	110
914	1171	108
915	1172	107
916	1173	106
917	1174	104
918	1175	103
919	1176	102
920	1177	100
921	1178	99
922	1179	98
923	1180	97
924	1181	95
925	1182	94
926	1183	93
927	1184	91
928	1185	90
929	1186	89
930	1187	87
931	1188	86
932	1188	85
933	1189	84
934	1190	82
935	1191	81
936	1192	80
937	1193	78
938	1194	77
939	1196	76
940	1197	75
941	1198	73
942	1199	72
943	1200	71
944	1200	69
945	1201	68
946	1202	67
947	1203	66
948	1204	64
949	1205	63
950	1206	62
951	1207	60
952	1208	59
953	1209	58
954	1210	57
955	1211	55
956	1212	54
957	1213	53
958	1214	51
959	1214	50
960	1215	49
961	1216	48
962	1217	46
963	1218	45
964	1218	44
965	1219	42
966	1220	41
967	1221	40
968	1222	39
969	1223	37
970	1225	36
971	1226	35
972	1227	34
973	1228	32
974	1229	31
975	1229	30
976	1230	28
977	1231	27
978	1232	26
979	1233	25
980	1234	23
981	1235	22
982	1236	21
983	1237	20
984	1238	18
985	1239	17
986	1241	16
987	1242	15
988	1244	13
989	1245	12
990	1246	11
991	1247	10
992	1248	8
993	1249	7
994	1250	6
995	1251	5
996	1252	3
997	1253	2
998	1254	1
999	1256	0
